コントロールフラグ,商品番号,商品カテゴリ名,商品カテゴリID
n,11053,ザナックス,8542
n,11055,ローリングス,7087
n,11056,グラブ,10304
n,11061,アシックス,10624
n,11064,アディダス,10624
n,11065,バボラ,5227
n,11067,ディアドラ,11066
n,11070,プリンス,6521
n,11071,プリンス,6522
n,11072,ボレロ,4960
n,11075,バボラ,6521
n,11076,バボラ,6522
n,11078,シューズ,6821
n,11079,スリクソン,5223
n,11083,アディダス,11082
n,11084,アンブロ,11082
n,11085,ルコック,10624
n,11087,デサント,10624
n,11088,ダンスキン,11066
n,11090,ヘッド,4963
n,11094,ヨネックス,6521
n,11095,ヨネックス,6522
n,11097,スリクソン,6521
n,11098,スリクソン,6522
n,11100,ダンスキン,11099
n,11101,ミズノ,6521
n,11102,ミズノ,6522
n,11103,ルイスビルスラッガー,7395
n,11104,ルイスビルスラッガー,7346
n,11105,バッグ・ケース,7897
n,11106,スキンズ,10624
n,11107,スキンズ,11066
n,11108,スキンズ,6571
n,11113,ゴーセン,6522
n,11114,トーエイ,6944
n,11117,ミズノ,11082
n,11119,防具,11118
n,11120,ニューバランス,10590
n,11121,ニューバランス,10591
n,11122,ニューバランス,10777
n,11124,アクセサリ・小物,6914
n,11125,その他,6007
n,11127,ニッタク,11126
n,11128,バタフライ,11126
n,11129,TSP,11126
n,11130,その他用品,5453
n,11131,ユニカール,7556
n,11132,ティーボール,7556
n,11133,スティックボール,7556
n,11134,ミズノ,10819
n,11135,ミズノ,10820
n,11136,ヤサカ,9666
n,11137,アシックス,11066
n,11139,アシックス,11138
n,11140,アシックス,5146
n,11141,アシックス,5141
n,11143,ミズノ,10777
n,11144,ボレー,6513
n,11145,その他,4937
n,11147,スキンズ,5998
n,11148,アシックス,11126
n,11149,2016年春夏モデル,6043
n,11158,バッグ,11151
n,11159,ラケット,11152
n,11161,バッグ,11152
n,11162,ラケット,11153
n,11163,シューズ,11153
n,11164,バッグ,11153
n,11168,ルコック,10771
n,11169,ルコック,10772
n,11170,ルコック,9463
n,11173,シューズ,9374
n,11174,シューズ,9263
n,11176,シューズ,11175
n,11177,ルコック,5902
n,11179,アシックス,11082
n,11181,アシックス,11180
n,11182,キットソン,11616
n,11183,リーボック,10772
n,11185,キットソン,5142
n,11186,ヨネックス,4965
n,11187,スリクソン,4965
n,11188,パラディーゾ,4965
n,11189,プリンス,4965
n,11190,ウィルソン,4965
n,11191,ディアドラ,4965
n,11192,ニューバランス,4965
n,11193,バボラ,4965
n,11194,その他,4965
n,11197,ミズノ,11126
n,11199,セントクリストファー,11617
n,11200,セントクリストファー,5141
n,11201,セントクリストファー,5142
n,11202,セントクリストファー,5147
n,11203,セントクリストファー,4972
n,11204,セントクリストファー,4973
n,11205,ヴィクタス,11126
n,11206,セントクリストファー,4974
n,11207,セントクリストファー,4982
n,11208,セントクリストファー,5615
n,11209,ニューバランス,6002
n,11210,ニューバランス,10624
n,11211,ウェア,8876
n,11212,ニューバランス,10819
n,11213,ニューバランス,10820
n,11214,アディダス,6521
n,11215,アディダス,6522
n,11216,ニューバランス,5997
n,11217,ニューバランス,10771
n,11218,ニューバランス,10772
n,11219,ニューバランス,6004
n,11221,ニューバランス,9463
n,11222,アディダス,7436
n,11223,マウスガード・マウスピース,4591
n,11224,ショックドクター,11617
n,11225,ローリングス,7323
n,11227,ローリングス,7325
n,11228,手袋,10304
n,11229,バッグ・ケース,10304
n,11230,ローリングス,7329
n,11231,ローリングス,7331
n,11233,ローリングス,7346
n,11234,ローリングス,7395
n,11235,アンブロ,10777
n,11236,ジェーンスタイル,10624
n,11237,ジェーンスタイル,6682
n,11240,オピタノ,6248
n,11241,オピタノ,6249
n,11242,オピタノ,6250
n,11248,アディダス,11247
n,11249,アディダス,11180
n,11250,アディダス,10219
n,11251,アディダス,10232
n,11252,アディダス,9394
n,11260,アディダス,11256
n,11261,アディダス,11257
n,11262,アディダス,11258
n,11263,アディダス,11259
n,11268,アディダス,11264
n,11270,アディダス,11266
n,11271,アディダス,11267
n,11272,ウェア,10743
n,11275,アディダス,11274
n,11276,アディダス,11066
n,11277,ブラックナイト,11620
n,11278,ブラックナイト,4972
n,11279,ブラックナイト,4973
n,11280,ブラックナイト,4974
n,11281,ブラックナイト,4975
n,11283,ブラックナイト,5142
n,11287,ヴィクター,4974
n,11288,コンバース,11180
n,11289,ローリングス,7085
n,11290,ローリングス,7086
n,11291,ローリングス,7088
n,11292,ローリングス,7100
n,11293,ローリングス,7102
n,11294,ローリングス,7103
n,11295,ローリングス,7104
n,11297,ローリングス,7212
n,11298,ローリングス,7231
n,11299,ローリングス,7235
n,11300,ソフトボール用品,10303
n,11301,グラブ,11300
n,11302,ミズノ,11247
n,11303,ミズノ,9395
n,11304,ミズノ,9393
n,11305,ミズノ,9394
n,11306,ミズノ,9396
n,11307,ミズノ,9397
n,11310,サンダル（キッズ・ジュニア）,7490
n,11312,アクセサリ・小物,7454
n,11314,オピタノ,6002
n,11315,オピタノ,6004
n,11316,ヴィクター,4975
n,11317,ヴィクター,5146
n,11319,スキンズ,6003
n,11320,ニューバランス,6000
n,11321,ミズノ,11138
n,11324,ミズノ,11066
n,11325,ウェア,8360
n,11326,バッグ,8360
n,11327,ミズノ,6566
n,11328,ミズノ,6567
n,11329,ミズノ,6568
n,11330,ミズノ,6569
n,11331,ミズノ,6570
n,11332,ミズノ,6575
n,11333,ミズノ,6580
n,11334,ミズノ,6578
n,11335,ミズノ,6702
n,11336,ミズノ,6576
n,11337,ミズノ,11274
n,11338,ミズノ,11256
n,11339,ミズノ,11258
n,11341,ミズノ,11266
n,11342,ミズノ,11257
